hsa00010	hsa00020	hsa00030	hsa00040	hsa00051	hsa00052	hsa00053	hsa00061	hsa00062	hsa00071	hsa00100	hsa00120	hsa00130	hsa00140	hsa00190	hsa00220	hsa00230	hsa00232	hsa00240	hsa00250	hsa00260	hsa00270	hsa00280	hsa00290	hsa00310	hsa00330	hsa00340	hsa00350	hsa00360	hsa00380	hsa00400	hsa00410	hsa00430	hsa00440	hsa00450	hsa00470	hsa00480	hsa00500	hsa00510	hsa00511	hsa00512	hsa00513	hsa00514	hsa00515	hsa00520	hsa00524	hsa00531	hsa00532	hsa00533	hsa00534	hsa00561	hsa00562	hsa00563	hsa00564	hsa00565	hsa00590	hsa00591	hsa00592	hsa00600	hsa00601	hsa00603	hsa00604	hsa00620	hsa00630	hsa00640	hsa00650	hsa00670	hsa00730	hsa00740	hsa00750	hsa00760	hsa00770	hsa00780	hsa00785	hsa00790	hsa00830	hsa00860	hsa00900	hsa00910	hsa00920	hsa00970	hsa00980	hsa00982	hsa00983	hsa01040	hsa01100	hsa01200	hsa01210	hsa01212	hsa01230	hsa01232	hsa01240	hsa01250	hsa01521	hsa01522	hsa01523	hsa01524	hsa02010	hsa03008	hsa03010	hsa03013	hsa03015	hsa03018	hsa03020	hsa03022	hsa03030	hsa03040	hsa03050	hsa03060	hsa03250	hsa03260	hsa03264	hsa03265	hsa03266	hsa03267	hsa03320	hsa03410	hsa03420	hsa03430	hsa03440	hsa03450	hsa03460	hsa04010	hsa04012	hsa04014	hsa04015	hsa04020	hsa04022	hsa04024	hsa04060	hsa04061	hsa04062	hsa04064	hsa04066	hsa04068	hsa04070	hsa04071	hsa04072	hsa04080	hsa04110	hsa04114	hsa04115	hsa04120	hsa04122	hsa04130	hsa04136	hsa04137	hsa04140	hsa04141	hsa04142	hsa04144	hsa04145	hsa04146	hsa04150	hsa04151	hsa04152	hsa04210	hsa04211	hsa04213	hsa04215	hsa04216	hsa04217	hsa04218	hsa04260	hsa04261	hsa04270	hsa04310	hsa04330	hsa04340	hsa04350	hsa04360	hsa04370	hsa04371	hsa04380	hsa04390	hsa04392	hsa04510	hsa04512	hsa04514	hsa04520	hsa04530	hsa04540	hsa04550	hsa04610	hsa04611	hsa04612	hsa04613	hsa04614	hsa04620	hsa04621	hsa04622	hsa04623	hsa04625	hsa04630	hsa04640	hsa04650	hsa04657	hsa04658	hsa04659	hsa04660	hsa04662	hsa04664	hsa04666	hsa04668	hsa04670	hsa04672	hsa04710	hsa04713	hsa04714	hsa04720	hsa04721	hsa04722	hsa04723	hsa04724	hsa04725	hsa04726	hsa04727	hsa04728	hsa04730	hsa04740	hsa04742	hsa04744	hsa04750	hsa04810	hsa04910	hsa04911	hsa04912	hsa04913	hsa04914	hsa04915	hsa04916	hsa04917	hsa04918	hsa04919	hsa04920	hsa04921	hsa04922	hsa04923	hsa04924	hsa04925	hsa04926	hsa04927	hsa04928	hsa04929	hsa04930	hsa04931	hsa04932	hsa04933	hsa04934	hsa04935	hsa04936	hsa04940	hsa04950	hsa04960	hsa04961	hsa04962	hsa04964	hsa04966	hsa04970	hsa04971	hsa04972	hsa04973	hsa04974	hsa04975	hsa04976	hsa04977	hsa04978	hsa04979	hsa05010	hsa05012	hsa05014	hsa05016	hsa05017	hsa05020	hsa05022	hsa05030	hsa05031	hsa05032	hsa05033	hsa05034	hsa05100	hsa05110	hsa05120	hsa05130	hsa05131	hsa05132	hsa05133	hsa05134	hsa05135	hsa05140	hsa05142	hsa05143	hsa05144	hsa05145	hsa05146	hsa05150	hsa05152	hsa05160	hsa05161	hsa05162	hsa05163	hsa05164	hsa05165	hsa05166	hsa05167	hsa05168	hsa05169	hsa05170	hsa05171	hsa05200	hsa05202	hsa05203	hsa05204	hsa05205	hsa05206	hsa05207	hsa05208	hsa05210	hsa05211	hsa05212	hsa05213	hsa05214	hsa05215	hsa05216	hsa05217	hsa05218	hsa05219	hsa05220	hsa05221	hsa05222	hsa05223	hsa05224	hsa05225	hsa05226	hsa05230	hsa05231	hsa05235	hsa05310	hsa05320	hsa05321	hsa05322	hsa05323	hsa05330	hsa05332	hsa05340	hsa05410	hsa05412	hsa05414	hsa05415	hsa05416	hsa05417	hsa05418
C00033	C00022	C01151	C14899	C00247	C06311	C00137	C04088	C00024	C02990	C01673	C00187	C16519	C05138	C00061	C03406	C00117	C00385	C00064	C00122	C16432	C06547	C15978	C00188	C05825	C04137	C00119	C00146	C12621	C05663	C00279	C00429	C00094	C00074	C01528	C00064	C00024	C00092	C03021		C02189			C02189	C00357	C00031	C00925	C00054		C00054	C00422	C11557	C00350	C06771	C15647	C03577	C04717	C11512	C00836				C15973	C00898	C00222	C03046	C00504	C00082	C15556	C00118	C06178	C03688	C02656	C16241	C11355	C05917	C05774	C05859	C00058	C00059	C06113	C14039	C16544	C07054	C16533	C01087	C00085	C17254	C00024	C04390	C00130	C00118	C04501	C00165	C00951	C21280		C16421													C00925	C00925				C02165							C00338	C00076	C05981	C00044	C01330	C00533	C00076			C00165	C00165	C00165	C00031	C11554	C05981	C05981	C02166		C00410			C00097		C00350		C04549	C00076	C00002	C04549	C04549		C05981	C05981	C00031	C00076	C05981	C05981		C00025	C00076	C16844	C00076	C00076			C22528																																																																																																																																																																																								
C00031	C00122	C00668	C03033	C00267	C01216	C05385	C16221	C00136	C00638	C01561	C03594	C03657	C05485	C00390	C00327	C00119	C13747	C00438	C00042	C06231	C01234	C15973	C06032	C05161	C00062	C02739	C02515	C00084	C05639	C00074	C02642	C06735	C02798	C05697	C00819	C00151	C00092	C01246					C01068	C00140	C00092	C00426	C00053		C02189	C00641	C11555	C00350	C06772	C15646	C14811	C14833	C16318	C12144				C15972	C00036	C00804	C01769	C00415	C15809	C00199	C00117	C15523	C00022	C01063	C16238	C00251	C00473	C16243	C06081	C00488	C00094	C02992	C14876	C07047	C04646	C16645	C02247	C05345	C17232	C03939	C04002	C00104	C00197	C01170	C05981	C00951	C11374		C01684														C00607				C14776							C00165	C00165	C00165	C00035	C00076	C00942	C00076			C01245	C01245	C01245	C05981	C11556	C00195	C00165	C05951		C01245			C00041		C00350		C01194		C00008	C04549	C04549		C00020	C00533	C05981	C05981	C00575	C05981		C00491	C00305	C00027	C00076	C00076																																																																																																																																																																																											
C00103	C00036	C00118	C00817	C01094	C00137	C00167	C16220	C05270	C05280	C01902	C15610	C06986	C05489	C00399	C00062	C03090	C16362	C00169	C00036	C06442	C08276	C15973	C02226	C00877	C00077	C02741	C01060	C00022	C05652	C04691	C00099	C00041	C05672	C05684	C03933	C01879	C00095	C03862					C00063	C04501	C17209	C00634	C02189		C00053	C00111	C01272	C00154	C00084	C15645	C14809	C14832	C08491	C12145				C16255	C00158	C01013	C00810	C03479	C11437	C00044	C07335	C00022	C04272	C01092	C22160	C00044	C00376	C16244	C00022	C00014	C00283	C02839	C14875	C16612	C12650	C16645	C22101	C01182	C17252	C05744	C00118	C00081	C00074	C06240		C00575	C21279		C00095																		C15493							C00575	C01245	C01245	C00575	C13050	C00076	C00238			C00076	C00076	C00704	C00008	C11557	C12126	C01245	C05952		C00076			C00868		C04549		C05981		C00159	C05981			C00123	C04637	C00008	C00319	C03582	C05981		C00051	C00002	C07909	C00076	C00076																																																																																																																																																																																											
C00631	C05379	C00022	C00103	C00159	C00095	C00029	C16219	C05271	C03561	C05442	C15519	C00885	C00735	C00524	C00077	C04734	C16363	C00337	C00026	C03283	C15606	C15972	C02612	C01144	C00134	C04896	C02465	C03589	C05638	C00944	C00083	C00022	C17942	C05172	C00025	C00097	C05731	C00621					C00789	C00043	C17580	C00573	C00401		C00033	C00093	C01204	C01194	C00641	C02773	C14810	C14766	C16317	C12126				C05125	C00149	C00099	C03044	C00143	C15814	C01304	C00232	C00163	C00141	C01909	C15972	C04895	C02094	C15670	C00024	C00192	C00224	C00078	C14877	C16648	C07446	C03242	C01667	C00197	C17228	C04618	C00111	C00020	C00022	C20768		C00951	C00101		C01487																		C15493							C01245	C05981	C00076	C00165	C13051	C00238	C01330			C00575	C00165	C00031	C00020	C11526	C00836	C00076	C04598		C00575			C17322		C01194		C00350		C00159	C04549			C00062	C05981	C00020	C00027	C07909	C00575		C21478	C00027	C00076	C00076	C01330																																																																																																																																																																																											
C00267	C00024	C00257	C00905	C00275	C03383	C01825	C00712	C05268	C01144	C15776	C13550	C00156	C00762	C00080	C00169	C00064	C00048	C00119	C00041	C02972	C15651	C15972	C00024	C00332	C00555	C04916	C01829	C00596	C05651	C00296	C00024	C00227	C03167	C06481	C00217	C00025	C02591	C00381						C00645	C17581		C01490			C00197	C01245	C00350	C01996	C01264	C14808	C14765	C16339	C01290				C03248	C04348	C00083	C06010	C00440	C15813	C01268	C01215	C03652	C00183	C01037	C22159	C03684	C00777	C15672	C00332	C06058	C00054	C03512	C14874	C16649	C16614	C01595	C15699	C00101	C17250	C00083	C00236	C00008	C05345	C20774		C00951	C00143		C00181																		C14767							C00076		C00044	C00076	C06124	C01245	C00080			C05981	C01245	C00022	C00025	C00076	C00065	C00575	C02465					C00868				C00350		C00275	C05981				C00020	C00003		C07151	C00575		C00097	C16844	C16844	C01330	C01330																																																																																																																																																																																											
C00221	C00149	C00198	C00514	C00392	C00124	C15930	C01530	C05269	C00877	C11508	C05455	C00390	C05481	C00080	C00049	C04392	C16364	C01103	C00049	C02051	C15650	C15976	C00022	C00024	C00334	C04677	C04185	C00122	C05648	C02637	C00383	C00024	C03557	C06482	C02237	C00037	C00089	C00110						C04257	C02627		C00054			C00258	C01243	C00346	C04230	C04756	C14807	C14767	C16338	C06124				C00074	C03548	C00109	C00022	C00664	C15812	C04454	C01270	C00922	C00966	C00120	C06423	C04244	C02075	C00037	C00118	C00887	C00053	C00082	C14873	C16650	C16615	C01530	C01010	C00267	C17224	C01209	C00197	C00002	C00117	C04613		C00535	C00364		C03619																		C14762									C00035	C00044	C00004	C00076	C01330				C00076	C00186		C01243	C00550	C00416	C01829					C17322				C00044		C00275	C11556					C00076		C00003			C00669	C00002	C00027	C01330	C00076																																																																																																																																																																																											
C00111	C00311	C00031	C00558	C00644	C00052	C15926	C08362	C01944	C00332	C01802	C17336	C03160	C05471	C00004	C00122	C00046	C16359	C00075	C00152	C00258	C04582	C00068	C00109	C00322	C15699	C04666	C00822	C12624	C02172	C00493	C05669	C00606	C05682	C05689	C00026	C01419	C00029	C06081						C06241	C17582		C00053			C00577	C01284		C00307	C04317	C14777	C14833	C16336	C01190				C03981	C00552	C02876	C00042	C00234	C15811	C04332	C04604	C02295	C00522	C00047	C15973	C00272	C02588	C04122	C11434	C00533	C11142	C00188	C14872	C07492	C16620	C00712	C07204	C00221	C08401	C04246	C00631	C00294	C00199	C22261		C00280	C00415		C00259																		C15493									C00076	C00076	C00002	C00533	C00575					C00024		C01272	C00195	C04637	C00735					C00378				C00035		C00275	C04637					C00024		C00020			C00418	C00195	C00076	C00076	C00238																																																																																																																																																																																											
C01172	C00417	C00221	C00800	C03267	C00103	C15923	C01203	C05276	C00136	C01789	C17333	C02730	C05472	C00003	C00014	C00039	C16357	C00015	C00402	C00114	C04188	C00068	C06006	C00527	C15700	C01267	C05604	C12623	C02298	C03175	C05670	C00519	C00033	C05695	C00041	C03740	C00031	C00096						C05345	C01743					C00184	C04520		C00588	C01233	C14822	C14835	C16335	C01120				C00058	C03459	C00163	C00122	C00445	C00097	C05995	C06050	C02930	C00864	C05552	C01944	C00268	C00899	C12147	C11435	C00088	C11145	C00123	C14871	C07501	C16619	C00249	C07201	C00668	C17220	C05745	C00074	C00212	C00119	C22262		C16547	C00365		C00140																											C00165	C00076	C00165	C00144	C00076					C00002		C03546	C00319	C00681	C05113					C05924						C00275	C04637					C00083		C00076			C11378	C00319	C00076	C00080	C01330																																																																																																																																																																																											
C00668	C00042	C00345	C05385	C00665	C00029	C15925	C16520	C05266	C00229	C15781	C17335	C17554	C05482	C00080	C00624	C05512	C16355	C00105	C02362	C00576	C03089	C15973	C14463	C00489	C15767	C01100	C01693	C12622	C05658	C01269	C01073	C01678	C17940	C05688	C00133	C00051	C00085							C00352	C17583					C00116	C04563		C00114	C03968	C14820	C14832	C16334	C00346				C00149	C00975	C00186	C01384	C00101	C15810	C00255	C00971	C16390	C00097	C01894	C02051	C04874	C02110	C11851	C11436	C00244	C11143	C02047	C14870	C16595	C07648	C00219	C11641	C01172	C08409	C05746	C00022	C00147	C00065	C22259			C00020		C00185																											C01245	C00165	C01245	C00575	C00165					C00076		C04006	C06124	C00165	C16512					C18239						C00275	C04637					C00040					C14819	C00076	C05981	C00080	C00080																																																																																																																																																																																											
C05345	C00158	C00204	C00167	C00794	C00880	C02280	C06424	C05267	C05269	C05107	C17337	C17559	C18075	C00122	C04133	C00559	C07481	C00299	C01042	C00719	C00170	C15972	C06007	C00956	C00315	C00860	C05578	C11588	C02775	C00251	C05665	C00097	C17944	C05699	C00993	C00669	C00092							C06156	C01441					C00029	C04477		C00157	C03201	C14780	C14834	C16332	C06062				C00332	C01146	C00827	C00497		C03373	C00474	C00250	C16159	C04352	C05921	C05752	C00266	C16682	C11850	C11453	C00726	C00580	C00407	C11088	C16596	C16618	C08320	C01626	C00345	C17216	C05747	C05378	C00262	C00097	C22260			C00504		C05402																											C00076	C00076	C00575	C00020	C01245					C00007		C01177	C06124	C05981	C11695					C00044							C00035					C00085					C14818	C00076		C01330	C01330																																																																																																																																																																																											
