aga00010	aga00020	aga00030	aga00040	aga00051	aga00052	aga00053	aga00061	aga00062	aga00071	aga00100	aga00130	aga00190	aga00220	aga00230	aga00232	aga00240	aga00250	aga00260	aga00270	aga00280	aga00290	aga00310	aga00330	aga00340	aga00350	aga00360	aga00380	aga00400	aga00410	aga00430	aga00440	aga00450	aga00470	aga00480	aga00500	aga00510	aga00511	aga00512	aga00513	aga00514	aga00515	aga00520	aga00531	aga00532	aga00533	aga00534	aga00561	aga00562	aga00563	aga00564	aga00565	aga00590	aga00592	aga00600	aga00601	aga00603	aga00604	aga00620	aga00630	aga00640	aga00650	aga00670	aga00730	aga00740	aga00750	aga00760	aga00770	aga00780	aga00785	aga00790	aga00830	aga00860	aga00900	aga00910	aga00920	aga00970	aga00980	aga00981	aga00982	aga00983	aga01040	aga01100	aga01200	aga01210	aga01212	aga01230	aga01232	aga01240	aga01250	aga02010	aga03008	aga03010	aga03013	aga03015	aga03018	aga03020	aga03022	aga03030	aga03040	aga03050	aga03060	aga03250	aga03266	aga03410	aga03420	aga03430	aga03440	aga03450	aga03460	aga04013	aga04068	aga04070	aga04080	aga04120	aga04122	aga04130	aga04136	aga04137	aga04140	aga04141	aga04142	aga04144	aga04145	aga04146	aga04150	aga04213	aga04214	aga04215	aga04310	aga04320	aga04330	aga04341	aga04350	aga04391	aga04392	aga04512	aga04624	aga04711	aga04745	aga04814
C00033	C00022	C01151	C14899	C00247	C06311	C00137	C04088	C00024	C02990	C01673	C16519	C00061	C03406	C00117	C00385	C00064	C00122	C16432	C06547	C15978	C00188	C05825	C04137	C00119	C00146	C12621	C05663	C00279	C00429	C00094	C00074	C01528	C00064	C00024	C00092	C03021		C02189			C02189	C00357	C00925	C00054		C00054	C00422	C11557	C00350	C06771	C15647	C03577	C11512	C00836				C15973	C00898	C00222	C03046	C00504	C00082	C15556	C00118	C06178	C03688	C02656	C16241	C11355	C05917	C05774	C05859	C00058	C00059	C06113	C14039	C16496	C16544	C07054	C16533	C03431	C00085	C17254	C00024	C04390	C00130	C00118	C04501	C16421																					C00031	C11554	C02166		C00097		C00350		C04549	C00076	C00002	C04549	C04549		C05981	C05981	C00477		C00076		C22528						C00027		C01245	
C00031	C00122	C00668	C03033	C00267	C01216	C05385	C16221	C00136	C00638	C01561	C03657	C00390	C00327	C00119	C13747	C00438	C00042	C06231	C01234	C15973	C06032	C05161	C00062	C02739	C02515	C00084	C05639	C00074	C02642	C06735	C02798	C05697	C00819	C00151	C00092	C01246					C01068	C00140	C00426	C00053		C02189	C00641	C11555	C00350	C06772	C15646	C14811	C16318	C12144				C15972	C00036	C00804	C01769	C00415	C15809	C00199	C00117	C15523	C00022	C01063	C16238	C00251	C00473	C16243	C06081	C00488	C00094	C02992	C14876	C02513	C07047	C04646	C16645	C22618	C05345	C17232	C03939	C04002	C00104	C00197	C01170	C01684																					C05981	C11556	C05951		C00041		C00350		C01194		C00008	C04549	C04549		C00020	C05981													C00165	
C00103	C00036	C00118	C00817	C01094	C00137	C00167	C16220	C05270	C05280	C01902	C06986	C00399	C00062	C03090	C16362	C00169	C00036	C06442	C08276	C15973	C02226	C00877	C00077	C02741	C01060	C00022	C05652	C04691	C00099	C00041	C05672	C05684	C03933	C01879	C00095	C03862					C00063	C04501	C00634	C02189		C00053	C00111	C01272	C00154	C00084	C15645	C14809	C08491	C12145				C16255	C00158	C01013	C00810	C03479	C11437	C00044	C07335	C00022	C04272	C01092	C22160	C00044	C00376	C16244	C00022	C00014	C00283	C02839	C14875	C16506	C16612	C12650	C16645	C22619	C01182	C17252	C05744	C00118	C00081	C00074	C06240	C00095																					C00008	C11557	C05952		C00868		C04549		C05981		C00159	C05981			C00123	C05981													C00076	
C00631	C05379	C00022	C00103	C00159	C00095	C00029	C16219	C05271	C03561	C05442	C00885	C00524	C00077	C04734	C16363	C00337	C00026	C03283	C15606	C15972	C02612	C01144	C00134	C04896	C02465	C03589	C05638	C00944	C00083	C00022	C17942	C05172	C00025	C00097	C05731	C00621					C00789	C00043	C00573	C00401		C00033	C00093	C01204	C01194	C00641	C02773	C14810	C16317	C12126				C05125	C00149	C00099	C03044	C00143	C15814	C01304	C00232	C00163	C00141	C01909	C15972	C04895	C02094	C15670	C00024	C00192	C00224	C00078	C14877	C16505	C16648	C07446	C03242	C22631	C00197	C17228	C04618	C00111	C00020	C00022	C20768	C01487																					C00020	C11526	C04598		C17322		C01194		C00350		C00159	C04549			C00062	C00575													C01330	
C00267	C00024	C00257	C00905	C00275	C03383	C01825	C00712	C05268	C01144	C15776	C00156	C00080	C00169	C00064	C00048	C00119	C00041	C02972	C15651	C15972	C00024	C00332	C00555	C04916	C01829	C00596	C05651	C00296	C00024	C00227	C03167	C06481	C00217	C00025	C02591	C00381						C00645		C01490			C00197	C01245	C00350	C01996	C01264	C14808	C16339	C01290				C03248	C04348	C00083	C06010	C00440	C15813	C01268	C01215	C03652	C00183	C01037	C22159	C03684	C00777	C15672	C00332	C06058	C00054	C03512	C14874	C16495	C16649	C16614	C01595	C22629	C00101	C17250	C00083	C00236	C00008	C05345	C20774	C00181																					C00025	C00076	C02465		C00868				C00350		C00275	C05981				C00575													C00076	
C00221	C00149	C00198	C00514	C00392	C00124	C15930	C01530	C05269	C00877	C11508	C00390	C00080	C00049	C04392	C16364	C01103	C00049	C02051	C15650	C15976	C00022	C00024	C00334	C04677	C04185	C00122	C05648	C02637	C00383	C00024	C03557	C06482	C02237	C00037	C00089	C00110						C04257		C00054			C00258	C01243	C00346	C04230	C04756	C14807	C16338	C06124				C00074	C03548	C00109	C00022	C00664	C15812	C04454	C01270	C00922	C00966	C00120	C06423	C04244	C02075	C00037	C00118	C00887	C00053	C00082	C14873	C16497	C16650	C16615	C01530	C22617	C00267	C17224	C01209	C00197	C00002	C00117	C04613	C03619																						C01243	C01829		C17322				C00044		C00275	C11556																	C18195	
C00111	C00311	C00031	C00558	C00644	C00052	C15926	C08362	C01944	C00332	C01802	C03160	C00004	C00122	C00046	C16359	C00075	C00152	C00258	C04582	C00068	C00109	C00322	C15699	C04666	C00822	C12624	C02172	C00493	C05669	C00606	C05682	C05689	C00026	C01419	C00029	C06081						C06241		C00053			C00577	C01284		C00307	C04317	C14777	C16336	C01190				C03981	C00552	C02876	C00042	C00234	C15811	C04332	C04604	C02295	C00522	C00047	C15973	C00272	C02588	C04122	C11434	C00533	C11142	C00188	C14872	C16500	C07492	C16620	C00712	C01151	C00221	C08401	C04246	C00631	C00294	C00199	C22261	C00259																						C01272	C00735		C00378				C00035		C00275	C04637																	C20428	
C01172	C00417	C00221	C00800	C03267	C00103	C15923	C01203	C05276	C00136	C01789	C02730	C00003	C00014	C00039	C16357	C00015	C00402	C00114	C04188	C00068	C06006	C00527	C15700	C01267	C05604	C12623	C02298	C03175	C05670	C00519	C00033	C05695	C00041	C03740	C00031	C00096						C05345					C00184	C04520		C00588	C01233	C14822	C16335	C01120				C00058	C03459	C00163	C00122	C00445	C00097	C05995	C06050	C02930	C00864	C05552	C01944	C00268	C00899	C12147	C11435	C00088	C11145	C00123	C14871	C16499	C07501	C16619	C00249	C20836	C00668	C17220	C05745	C00074	C00212	C00119	C22262	C00140																						C03546	C05113		C05924						C00275	C04637																	C18196	
C00668	C00042	C00345	C05385	C00665	C00029	C15925	C16520	C05266	C00229	C15781	C17554	C00080	C00624	C05512	C16355	C00105	C02362	C00576	C03089	C15973	C14463	C00489	C15767	C01100	C01693	C12622	C05658	C01269	C01073	C01678	C17940	C05688	C00133	C00051	C00085							C00352					C00116	C04563		C00114	C03968	C14820	C16334	C00346				C00149	C00975	C00186	C01384	C00101	C15810	C00255	C00971	C16390	C00097	C01894	C02051	C04874	C02110	C11851	C11436	C00244	C11143	C02047	C14870	C02633	C16595	C07648	C00219	C16386	C01172	C08409	C05746	C00022	C00147	C00065	C22259	C00185																						C04006	C16512		C18239						C00275	C04637																	C20429	
C05345	C00158	C00204	C00167	C00794	C00880	C02280	C06424	C05267	C05269	C05107	C17559	C00122	C04133	C00559	C07481	C00299	C01042	C00719	C00170	C15972	C06007	C00956	C00315	C00860	C05578	C11588	C02775	C00251	C05665	C00097	C17944	C05699	C00993	C00669	C00092							C06156					C00029	C04477		C00157	C03201	C14780	C16332	C06062				C00332	C01146	C00827	C00497		C03373	C00474	C00250	C16159	C04352	C05921	C05752	C00266	C16682	C11850	C11453	C00726	C00580	C00407	C11088	C16494	C16596	C16618	C08320	C00511	C00345	C17216	C05747	C05378	C00262	C00097	C22260	C05402																						C01177	C11695		C00044							C00035																	C00219	
